iteration,best_blackout_risk,best_brownout_risk,reward
99,0,0,-293.1284851874171
99,0,0,-31.151510788079012
99,0,0,1468.22697464703
99,0,0,-221.9010710499439
99,0,0,-25.72560827146931
99,0,0,-270.6827237576797
99,0,0,-219.73053009858828
99,0,0,-212.6470631031959
99,0,0,1475.4251527550628
99,0,0,-30.313356966922743
99,0,0,-221.47876365685374
99,0,0,1471.1352286257884
99,0,0,-22.85394404317834
99,0,0,-218.07605515766943
99,0,0,-217.68186242838965
99,0,0,-51.12271279068161
99,0,0,1468.8639923660505
99,0,0,-229.47843728377106
99,0,0,-25.79933392768008
99,0,0,-217.6269470488218
99,0,0,-26.788371508052442
99,0,0,-215.72826099067768
99,0,0,-215.53827844452167
99,0,0,-227.34883602726703
99,0,0,-222.33005696249023
99,0,0,-224.88285557961098
99,0,0,-213.58186532120098
99,0,0,-216.87618272161063
99,0,0,-218.6599267536105
99,0,0,-210.95535794163695
99,0,0,-34.454044100606026
99,0,0,-37.0099315132941
99,0,0,-29.636139189862117
99,0,0,-226.26682076637573
99,0,0,-230.4060934387514
99,0,0,-28.51839228600643
99,0,0,-228.2903473396386
99,0,0,-221.04040408832256
99,0,0,-22.421851844364582
99,0,0,-227.68689562702073
99,0,0,-221.6904208060093
99,0,0,-30.051051036530236
99,0,0,-224.49836160004722
99,0,0,-30.81917802493873
99,0,0,-226.61358553345715
99,0,0,1472.2427029264115
99,0,0,-228.37652339942184
99,0,0,-47.441872972088724
99,0,0,-219.06358490808944
99,0,0,-229.71836924411244
99,0,0,-218.6424009091425
99,0,0,-223.7683338601212
99,0,0,1471.8361884598419
99,0,0,-219.39364239860686
99,0,0,-28.800503070889253
99,0,0,-25.615575040770004
99,0,0,-228.77452159850756
99,0,0,-31.452385436219483
99,0,0,-30.221204350387
99,0,0,-27.529509938387058
99,0,0,-27.672436152135496
99,0,0,-217.18595419988114
99,0,0,-24.891440222146628
99,0,0,-29.23789818750958
99,0,0,1470.7743793930276
99,0,0,1469.2955967546293
99,0,0,-31.34543667717908
99,0,0,-46.4537901304255
99,0,0,-30.07851412942321
99,0,0,-25.107817256580365
99,0,0,-217.2777051096916
99,0,0,-276.61946836155374
99,0,0,-28.700513059924024
99,0,0,-33.17684419177477
99,0,0,-29.040341901211452
99,0,0,-220.19550442115096
99,0,0,-30.01419777616249
99,0,0,-46.48967455221296
99,0,0,-214.25657660886668
99,0,0,-223.768411094461
99,0,0,-28.635960507583473
99,0,0,-223.53406891936325
99,0,0,1469.0239864665239
99,0,0,-28.702358822289725
99,0,0,-30.745533123992118
99,0,0,-223.98271881817502
99,0,0,-227.17358138428273
99,0,0,972.9802666381678
99,0,0,-28.797543749110496
99,0,0,-218.75903010820699
99,0,0,-222.42944504158757
99,0,0,-26.85815591385043
99,0,0,-25.826191643191454
99,0,0,-222.24979987972486
99,0,0,-224.22850934317526
99,0,0,-47.91897337526744
99,0,0,-40.055566133341024
99,0,0,1469.8203452355426
99,0,0,-25.450642762470327
99,0,0,-217.2863174606959
99,0,0,-221.46245223472607
99,0,0,-226.71314029372695
99,0,0,-28.58290442485673
99,0,0,-217.8607104388119
99,0,0,-29.13449586316421
99,0,0,-29.386721829560866
99,0,0,-229.07475999314153
99,0,0,-225.27008039412055
99,0,0,-230.71261886237454
99,0,0,-32.33840258546032
99,0,0,-28.95786991627068
99,0,0,-28.189893536675722
99,0,0,-227.6065005725211
99,0,0,-227.68411187334098
99,0,0,-31.246482565850656
99,0,0,-26.547488547479414
99,0,0,-31.387374481536078
99,0,0,-30.435316500396766
99,0,0,-35.71100446954165
99,0,0,-220.2853393662775
99,0,0,-29.93571776125446
99,0,0,-32.74754367847746
99,0,0,-226.7798446023089
99,0,0,-229.76679225592886
99,0,0,-226.86230386495805
99,0,0,-29.494544924955985
99,0,0,-28.143532711073288
99,0,0,-226.68313215690168
99,0,0,-223.07848710915678
99,0,0,-30.029861223851785
99,0,0,-228.0879103158771
99,0,0,-229.4510124753137
99,0,0,967.4181915311735
99,0,0,1470.148451028399
99,0,0,1470.6657413824637
99,0,0,-26.450963853664867
99,0,0,-28.30287980965891
99,0,0,-30.99700932519064
99,0,0,-31.326222105055404
99,0,0,-223.35825912293143
99,0,0,1468.2721319023935
99,0,0,-29.26864284153802
99,0,0,-227.0065299592773
99,0,0,-29.51800598759578
99,0,0,-30.96868137580805
99,0,0,-216.04278074336136
99,0,0,1468.9352519884226
99,0,0,-29.93457250250471
99,0,0,-228.45710111389613
99,0,0,-223.02106535511734
99,0,0,-28.77840780510183
99,0,0,-228.04676061914424
99,0,0,-229.08715054676284
99,0,0,-31.92897583118087
99,0,0,1473.2950957121577
99,0,0,-227.62034762699304
99,0,0,1468.4282915123404
99,0,0,1471.49717421459
99,0,0,1469.901088828771
99,0,0,-226.62992706824497
99,0,0,-228.2850069259109
99,0,0,968.0772820566096
99,0,0,-31.077782486124487
99,0,0,-30.103952510148805
99,0,0,-30.120143887649782
99,0,0,-28.36699365012824
99,0,0,-27.651887126275838
99,0,0,-29.58222218999952
99,0,0,-29.41299486413799
99,0,0,-225.2997642132683
99,0,0,-29.917280697312705
99,0,0,-227.2732823460921
99,0,0,-29.059718639461614
99,0,0,-31.03867455994504
99,0,0,-231.2938748820242
99,0,0,-231.31956559899592
99,0,0,-32.081194703319134
99,0,0,-228.27758191400127
99,0,0,-50.81654753544404
99,0,0,-222.03203490482457
99,0,0,-31.748483606394878
99,0,0,-231.79487223877328
99,0,0,-30.93483199693261
99,0,0,-24.72927943013339
99,0,0,-27.207883167442482
99,0,0,-30.214943754841265
99,0,0,-30.766444410964123
99,0,0,-31.968619653232597
99,0,0,-30.41947005122104
99,0,0,-28.461457132144858
99,0,0,-225.65224067574894
99,0,0,-230.65512542567237
99,0,0,-29.40152848682701
99,0,0,-44.41980588697567
99,0,0,-34.21910382949845
99,0,0,-31.11559618243335
99,0,0,-228.8971903803586
99,0,0,-32.160605803155306
99,0,0,-224.62404639449943
99,0,0,-26.025224897704923
99,0,0,-33.0993029303558
99,0,0,-227.58747892468517
99,0,0,-29.897751303712717
99,0,0,-28.454262025705706
99,0,0,-228.01487256512453
99,0,0,-229.8467416699849
99,0,0,-220.67837315555087
99,0,0,-227.87931922155943
99,0,0,-229.31402523642802
99,0,0,-227.9570426584695
99,0,0,-231.50702936579788
99,0,0,-29.989800974029958
99,0,0,-230.42107788496756
99,0,0,1470.226490505046
99,0,0,1467.6414695956166
99,0,0,-29.081703119698897
99,0,0,1470.604624306503
99,0,0,-32.684478810583116
99,0,0,-30.076169703633845
99,0,0,-30.741112298861008
99,0,0,1467.503271930791
99,0,0,1474.262195673339
99,0,0,-217.83362023313248
99,0,0,-31.089783308586277
99,0,0,-31.147360104740404
99,0,0,-225.88255987720052
99,0,0,-37.36518245588963
99,0,0,-28.899728773722675
99,0,0,-25.582026483998618
99,0,0,-31.910499706050253
99,0,0,-231.47963746214288
99,0,0,-228.4282886975953
99,0,0,-33.01701839971431
99,0,0,-228.16663134391476
99,0,0,-31.7155902137741
99,0,0,-30.837753227595226
99,0,0,-224.78637404716565
99,0,0,969.7241127789097
99,0,0,-31.711255186230446
99,0,0,-226.9411059985457
99,0,0,-30.335441362140145
99,0,0,-227.2272095566901
99,0,0,1467.209177119233
99,0,0,-28.882453012606387
